palabra;ocurrencia;administracion;delincuencia;espaciopublico;limpieza;movilidad
apriori;NA;0.12;0.14;0.14;0.24;0.36
bicicleta;0;0.954545454545455;0.923076923076923;0.96;0.976744186046512;0.983333333333333
bicicleta;1;0.0454545454545455;0.0769230769230769;0.04;0.0232558139534884;0.0166666666666667
calle;0;0.954545454545455;0.884615384615385;0.88;0.837209302325581;0.866666666666667
calle;1;0.0454545454545455;0.115384615384615;0.12;0.162790697674419;0.133333333333333
dejar;0;0.954545454545455;0.961538461538462;0.92;0.953488372093023;0.933333333333333
dejar;1;0.0454545454545455;0.0384615384615385;0.08;0.0465116279069767;0.0666666666666667
litro;0;0.954545454545455;0.923076923076923;0.96;0.976744186046512;0.983333333333333
litro;1;0.0454545454545455;0.0769230769230769;0.04;0.0232558139534884;0.0166666666666667
poder;0;0.909090909090909;0.961538461538462;0.96;0.953488372093023;0.933333333333333
poder;1;0.0909090909090909;0.0384615384615385;0.04;0.0465116279069767;0.0666666666666667
santo;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
santo;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.0333333333333333
ser;0;0.818181818181818;0.884615384615385;0.76;0.883720930232558;0.716666666666667
ser;1;0.181818181818182;0.115384615384615;0.24;0.116279069767442;0.283333333333333
tener;0;0.863636363636364;0.923076923076923;0.84;0.953488372093023;0.9
tener;1;0.136363636363636;0.0769230769230769;0.16;0.0465116279069767;0.1
agua;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.983333333333333
agua;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0166666666666667
frente;0;0.954545454545455;0.961538461538462;0.84;0.976744186046512;0.966666666666667
frente;1;0.0454545454545455;0.0384615384615385;0.16;0.0232558139534884;0.0333333333333333
hacer;0;0.954545454545455;0.961538461538462;0.92;0.883720930232558;0.95
hacer;1;0.0454545454545455;0.0384615384615385;0.08;0.116279069767442;0.05
tiempo;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.983333333333333
tiempo;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0166666666666667
castilla;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.966666666666667
castilla;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.0333333333333333
entrar;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.9
entrar;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.1
haber;0;0.954545454545455;0.884615384615385;0.6;0.767441860465116;0.866666666666667
haber;1;0.0454545454545455;0.115384615384615;0.4;0.232558139534884;0.133333333333333
portal;0;0.954545454545455;0.961538461538462;0.88;0.976744186046512;0.95
portal;1;0.0454545454545455;0.0384615384615385;0.12;0.0232558139534884;0.05
rotonda;0;0.954545454545455;0.961538461538462;0.92;0.976744186046512;0.9
rotonda;1;0.0454545454545455;0.0384615384615385;0.08;0.0232558139534884;0.1
sumidero;0;0.954545454545455;0.961538461538462;0.88;0.976744186046512;0.983333333333333
sumidero;1;0.0454545454545455;0.0384615384615385;0.12;0.0232558139534884;0.0166666666666667
unir;0;0.863636363636364;0.653846153846154;0.8;0.86046511627907;0.8
unir;1;0.136363636363636;0.346153846153846;0.2;0.13953488372093;0.2
venir;0;0.954545454545455;0.961538461538462;0.92;0.953488372093023;0.983333333333333
venir;1;0.0454545454545455;0.0384615384615385;0.08;0.0465116279069767;0.0166666666666667
coche;0;0.954545454545455;0.923076923076923;0.96;0.953488372093023;0.916666666666667
coche;1;0.0454545454545455;0.0769230769230769;0.04;0.0465116279069767;0.0833333333333333
contaminación;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.983333333333333
contaminación;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0166666666666667
dar;0;0.909090909090909;0.923076923076923;0.96;0.906976744186046;0.933333333333333
dar;1;0.0909090909090909;0.0769230769230769;0.04;0.0930232558139535;0.0666666666666667
decir;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.933333333333333
decir;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.0666666666666667
parar;0;0.818181818181818;0.961538461538462;0.92;0.837209302325581;0.9
parar;1;0.181818181818182;0.0384615384615385;0.08;0.162790697674419;0.1
problema;0;0.954545454545455;0.961538461538462;0.8;0.953488372093023;0.966666666666667
problema;1;0.0454545454545455;0.0384615384615385;0.2;0.0465116279069767;0.0333333333333333
sitio;0;0.954545454545455;0.961538461538462;0.92;0.930232558139535;0.983333333333333
sitio;1;0.0454545454545455;0.0384615384615385;0.08;0.0697674418604651;0.0166666666666667
volver;0;0.954545454545455;0.961538461538462;0.88;0.953488372093023;0.983333333333333
volver;1;0.0454545454545455;0.0384615384615385;0.12;0.0465116279069767;0.0166666666666667
día;0;0.909090909090909;0.923076923076923;0.92;0.953488372093023;0.966666666666667
día;1;0.0909090909090909;0.0769230769230769;0.08;0.0465116279069767;0.0333333333333333
aun;0;0.909090909090909;0.961538461538462;0.96;0.930232558139535;0.966666666666667
aun;1;0.0909090909090909;0.0384615384615385;0.04;0.0697674418604651;0.0333333333333333
llegar;0;0.954545454545455;0.961538461538462;0.96;0.953488372093023;0.95
llegar;1;0.0454545454545455;0.0384615384615385;0.04;0.0465116279069767;0.05
contenedor;0;0.909090909090909;0.923076923076923;0.92;0.837209302325581;0.983333333333333
contenedor;1;0.0909090909090909;0.0769230769230769;0.08;0.162790697674419;0.0166666666666667
humo;0;0.909090909090909;0.961538461538462;0.92;0.976744186046512;0.983333333333333
humo;1;0.0909090909090909;0.0384615384615385;0.08;0.0232558139534884;0.0166666666666667
tranvía;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.816666666666667
tranvía;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.183333333333333
turismo;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.9
turismo;1;0.0454545454545455;0.0384615384615385;0.04;0.0232558139534884;0.1
arriurdina;0;0.954545454545455;0.961538461538462;0.96;0.976744186046512;0.966666666666667
