tweet;demanda;tema
sale humo del contenedor azul;1;administración pública
"_ iquest;El ayuntamiento no debería exigir a la contrata de jardines que haga el menos ruido posible?  _ iquest;o … https://t.co/vREjiVZ5if";1;limpieza
"""Tánger no tiene ningún interés en rehabilitar el Palacio de los Álava. Nuestro Ayuntamiento debe iniciar la expropiación ya"" @oskar_fm";1;administración pública
bizikleteroak Con la intención de advertir al ayuntamiento de la situación que esta sucediendo en este tramo entre… https://t.co/ZN5X5TO38b;1;movilidad
VIDEO: “Guerra de papeles” en 10 metros de la calle Dato (SUCIEDAD) https://t.co/AoLuQE5WGu https://t.co/YqTXFMDuGc;1;limpieza
En el colegio de la calle ariznabarra debería de haber un poco más de atención policial, las horas puntuales de sa… https://t.co/5hk7i8PgF9;1;movilidad
Buenas tardes:Soy una vecina de la calle Flandes.Hay en el barrio una plataforma denominada tranviaNOtaldea que de… https://t.co/rnwlZLpJcF;1;movilidad
Buenas tardes:Soy una vecina de la Calle Flandes. Desde hace aproximadamente 8 meses llevo llamando en numerosísim… https://t.co/lhz5Ah8IuE;1;movilidad
Durante las últimas fiestas de Zabalgana unos adolescentes rompieron el vallado de un solar en la calle Juan Gris … https://t.co/TNRcO5Rqpr;1;delincuencia
"-Falta el contenedor de vidrio de la calle Koldo Mitxelena. Cercano al n _ ordm;7 de esa calle. Gracias -Está estr… https://t.co/6l2do3uMQS";1;limpieza
@gorka__urtaran @altafit Es imposible poder dejar la bicicleta en la calle san prudencio, tener que recorrer toda l… https://t.co/bzgA5LmulX;1;movilidad
@Rober_Pic @BuzonVG @ZabalganaBatuz @gasteizhoy Y la bidireccionalidad q han hecho en esa calle sin avisar! Menudo susto!;1;movilidad
Un taxista para almorzar en la calle Castilla 20 minutos el coche en un vado, luego deja tu un minuto el coche en una parada vacia, verás;1;movilidad
Quisiera conocer si ya se ha abierto el expediente de contratación para el servicio de limpieza del Centro Civico … https://t.co/IZ1j1a5KZk;1;limpieza
Cisco mundial con la contrata de limpieza… ¡Y Urtaran desaparecido! https://t.co/LrjIjLejNn #VitoriaGasteiz https://t.co/t0h6KVaU5t;1;limpieza
Exigimos, con @ehbildugasteiz e @IrabaziGasteiz, la gestión directa del servicio de limpieza. Ahorraremos costes y… https://t.co/YFiXnCr1gZ;1;limpieza
Si un concejal se “pega” por la limpieza de Vitoria… ¡SE DICE Y PUNTO! https://t.co/jr8HQWDfBc #vitoriagasteiz https://t.co/KHQ4UfaUu1;1;limpieza
Sansomendi sigue sufriendo el olor a pescado podrido https://t.co/Iii1Z0Ks6Y;1;limpieza
Cuando te dicen que el problema de la contaminación de los coches es que dan vueltas porque no tienen sitio para ap… https://t.co/j3rdE6JIsC;1;limpieza
La movilidad activa es gran parte de la solución al problema de la congestión urbana @FlowH2020 @CIVITAS_EU… https://t.co/ECCffz18rp;1;movilidad
El robo de bicicletas en #VitoriaGasteiz es una lacra que no termina. https://t.co/sneDiWAfxO;1;delincuencia
En la Calle Florida, frente al número 1, existe una plaza para aparcamiento de vehículos con tarjeta de minusválid… https://t.co/suiwE4AD0H;1;movilidad
yo espero que si esos árboles cumplen con la ordenanza en lo referente a las distancias adecuadas y no deben talar… https://t.co/UOweKyCnla;1;espacio público
En la Calle Florida, frente al número 1, existe una plaza para aparcamiento de vehículos con tarjeta de minusválid… https://t.co/suiwE4AD0H;1;movilidad
