palabra;ocurrencia;noqueja;queja
completar;0;0.982248521;0.99408284
completar;1;0.017751479;0.00591716
spain;0;0.970414201;0.99408284
spain;1;0.029585799;0.00591716
vasco;0;0.98816568;0.99408284
vasco;1;0.01183432;0.00591716
vitoriagasteiz;0;0.887573964;0.905325444
vitoriagasteiz;1;0.112426036;0.094674556
asumir;0;0.99408284;0.98816568
asumir;1;0.00591716;0.01183432
contrato;0;0.99408284;0.982248521
contrato;1;0.00591716;0.017751479
directo;0;0.982248521;0.970414201
directo;1;0.017751479;0.029585799
empresa;0;0.98816568;0.976331361
empresa;1;0.01183432;0.023668639
escenario;0;0.98816568;0.99408284
escenario;1;0.01183432;0.00591716
gestion;0;0.98816568;0.970414201
gestion;1;0.01183432;0.029585799
haber;0;0.905325444;0.857988166
haber;1;0.094674556;0.142011834
limpieza;0;0.976331361;0.934911243
limpieza;1;0.023668639;0.065088757
nuevo;0;0.98816568;0.98816568
nuevo;1;0.01183432;0.01183432
posible;0;0.99408284;0.98816568
posible;1;0.00591716;0.01183432
seguir;0;0.946745562;0.958579882
seguir;1;0.053254438;0.041420118
cumplir;0;0.98816568;0.970414201
cumplir;1;0.01183432;0.029585799
europa;0;0.982248521;0.98816568
europa;1;0.017751479;0.01183432
gasteiz;0;0.905325444;0.98816568
gasteiz;1;0.094674556;0.01183432
gernika;0;0.976331361;0.99408284
gernika;1;0.023668639;0.00591716
hoy;0;0.940828402;0.976331361
hoy;1;0.059171598;0.023668639
jornada;0;0.982248521;0.99408284
jornada;1;0.017751479;0.00591716
ley;0;0.98816568;0.98816568
ley;1;0.01183432;0.01183432
ser;0;0.840236686;0.804733728
ser;1;0.159763314;0.195266272
autobus;0;0.982248521;0.946745562
autobus;1;0.017751479;0.053254438
entrar;0;0.970414201;0.934911243
entrar;1;0.029585799;0.065088757
vez;0;0.964497041;0.976331361
vez;1;0.035502959;0.023668639
concejal;0;0.99408284;0.98816568
concejal;1;0.00591716;0.01183432
sucio;0;0.98816568;0.98816568
sucio;1;0.01183432;0.01183432
vitoria;0;0.869822485;0.846153846
vitoria;1;0.130177515;0.153846154
ayuntamiento;0;0.976331361;0.946745562
ayuntamiento;1;0.023668639;0.053254438
hacer;0;0.970414201;0.928994083
hacer;1;0.029585799;0.071005917
olaguibel;0;0.99408284;0.98816568
olaguibel;1;0.00591716;0.01183432
parada;0;0.99408284;0.98816568
parada;1;0.00591716;0.01183432
tiempo;0;0.976331361;0.98816568
tiempo;1;0.023668639;0.01183432
unir;0;0.934911243;0.846153846
unir;1;0.065088757;0.153846154
dar;0;0.952662722;0.964497041
dar;1;0.047337278;0.035502959
tarde;0;0.982248521;0.98816568
tarde;1;0.017751479;0.01183432
tener;0;0.952662722;0.923076923
tener;1;0.047337278;0.076923077
ahora;0;0.964497041;0.98816568
ahora;1;0.035502959;0.01183432
contenedor;0;0.98816568;0.952662722
contenedor;1;0.01183432;0.047337278
viajar;0;0.98816568;0.99408284
viajar;1;0.01183432;0.00591716
año;0;0.958579882;0.982248521
año;1;0.041420118;0.017751479
colocar;0;0.99408284;0.98816568
colocar;1;0.00591716;0.01183432
mismo;0;0.982248521;0.982248521
mismo;1;0.017751479;0.017751479
parar;0;0.928994083;0.911242604
parar;1;0.071005917;0.088757396
problema;0;0.893491124;0.958579882
problema;1;0.106508876;0.041420118
riesgo;0;0.98816568;0.98816568
riesgo;1;0.01183432;0.01183432
sitio;0;0.98816568;0.976331361
sitio;1;0.01183432;0.023668639
volver;0;0.982248521;0.976331361
volver;1;0.017751479;0.023668639
miedo;0;0.99408284;0.982248521
miedo;1;0.00591716;0.017751479
preguntar;0;0.99408284;0.982248521
preguntar;1;0.00591716;0.017751479
servicio;0;0.982248521;0.934911243
servicio;1;0.017751479;0.065088757
ciclista;0;0.98816568;0.98816568
ciclista;1;0.01183432;0.01183432
coche;0;0.99408284;0.958579882
coche;1;0.00591716;0.041420118
huir;0;0.98816568;0.98816568
huir;1;0.01183432;0.01183432
tras;0;0.982248521;0.970414201
tras;1;0.017751479;0.029585799
alguien;0;0.98816568;0.98816568
alguien;1;0.01183432;0.01183432
basura;0;0.976331361;0.964497041
basura;1;0.023668639;0.035502959
ciudadano;0;0.99408284;0.98816568
ciudadano;1;0.00591716;0.01183432
duda;0;0.98816568;0.99408284
duda;1;0.01183432;0.00591716
partido;0;0.98816568;0.98816568
partido;1;0.01183432;0.01183432
podrir;0;0.99408284;0.98816568
podrir;1;0.00591716;0.01183432
respaldar;0;0.99408284;0.98816568
respaldar;1;0.00591716;0.01183432
atropellar;0;0.99408284;0.982248521
atropellar;1;0.00591716;0.017751479
bici;0;0.98816568;0.940828402
bici;1;0.01183432;0.059171598
dejar;0;0.99408284;0.958579882
dejar;1;0.00591716;0.041420118
distancia;0;0.99408284;0.982248521
